Level	Rule Name	Subject	Property	Value
WARN	missing_definition	NCBITaxon:1313	IAO:0000115	
WARN	missing_definition	NCBITaxon:1314	IAO:0000115	
WARN	missing_definition	NCBITaxon:1338369	IAO:0000115	
WARN	missing_definition	NCBITaxon:1350	IAO:0000115	
WARN	missing_definition	NCBITaxon:1352	IAO:0000115	
WARN	missing_definition	NCBITaxon:135621	IAO:0000115	
WARN	missing_definition	NCBITaxon:135625	IAO:0000115	
WARN	missing_definition	NCBITaxon:136841	IAO:0000115	
WARN	missing_definition	NCBITaxon:1385	IAO:0000115	
WARN	missing_definition	NCBITaxon:1437010	IAO:0000115	
WARN	missing_definition	NCBITaxon:1496	IAO:0000115	
WARN	missing_definition	NCBITaxon:1760	IAO:0000115	
WARN	missing_definition	NCBITaxon:1762	IAO:0000115	
WARN	missing_definition	NCBITaxon:1763	IAO:0000115	
WARN	missing_definition	NCBITaxon:1773	IAO:0000115	
WARN	missing_definition	NCBITaxon:1783257	IAO:0000115	
WARN	missing_definition	NCBITaxon:1783272	IAO:0000115	
WARN	missing_definition	NCBITaxon:1785	IAO:0000115	
WARN	missing_definition	NCBITaxon:186801	IAO:0000115	
WARN	missing_definition	NCBITaxon:186802	IAO:0000115	
WARN	missing_definition	NCBITaxon:186804	IAO:0000115	
WARN	missing_definition	NCBITaxon:186826	IAO:0000115	
WARN	missing_definition	NCBITaxon:1870884	IAO:0000115	
WARN	missing_definition	NCBITaxon:1903411	IAO:0000115	
WARN	missing_definition	NCBITaxon:1903414	IAO:0000115	
WARN	missing_definition	NCBITaxon:194	IAO:0000115	
WARN	missing_definition	NCBITaxon:1963758	IAO:0000115	
WARN	missing_definition	NCBITaxon:2	IAO:0000115	
WARN	missing_definition	NCBITaxon:201174	IAO:0000115	
WARN	missing_definition	NCBITaxon:204428	IAO:0000115	
WARN	missing_definition	NCBITaxon:204429	IAO:0000115	
WARN	missing_definition	NCBITaxon:205	IAO:0000115	
WARN	missing_definition	NCBITaxon:206351	IAO:0000115	
WARN	missing_definition	NCBITaxon:209	IAO:0000115	
WARN	missing_definition	NCBITaxon:210	IAO:0000115	
WARN	missing_definition	NCBITaxon:213849	IAO:0000115	
WARN	missing_definition	NCBITaxon:2593542	IAO:0000115	
WARN	missing_definition	NCBITaxon:2629414	IAO:0000115	
WARN	missing_definition	NCBITaxon:2750822	IAO:0000115	
WARN	missing_definition	NCBITaxon:2759	IAO:0000115	
WARN	missing_definition	NCBITaxon:28216	IAO:0000115	
WARN	missing_definition	NCBITaxon:286	IAO:0000115	
WARN	missing_definition	NCBITaxon:287	IAO:0000115	
WARN	missing_definition	NCBITaxon:2887326	IAO:0000115	
WARN	missing_definition	NCBITaxon:2890311	IAO:0000115	
WARN	missing_definition	NCBITaxon:292	IAO:0000115	
WARN	missing_definition	NCBITaxon:29547	IAO:0000115	
WARN	missing_definition	NCBITaxon:314146	IAO:0000115	
WARN	missing_definition	NCBITaxon:314147	IAO:0000115	
WARN	missing_definition	NCBITaxon:32008	IAO:0000115	
WARN	missing_definition	NCBITaxon:32523	IAO:0000115	
WARN	missing_definition	NCBITaxon:32524	IAO:0000115	
WARN	missing_definition	NCBITaxon:32525	IAO:0000115	
WARN	missing_definition	NCBITaxon:33154	IAO:0000115	
WARN	missing_definition	NCBITaxon:33208	IAO:0000115	
WARN	missing_definition	NCBITaxon:33213	IAO:0000115	
WARN	missing_definition	NCBITaxon:33511	IAO:0000115	
WARN	missing_definition	NCBITaxon:337687	IAO:0000115	
WARN	missing_definition	NCBITaxon:37162	IAO:0000115	
WARN	missing_definition	NCBITaxon:39107	IAO:0000115	
WARN	missing_definition	NCBITaxon:40674	IAO:0000115	
WARN	missing_definition	NCBITaxon:468	IAO:0000115	
WARN	missing_definition	NCBITaxon:469	IAO:0000115	
WARN	missing_definition	NCBITaxon:470	IAO:0000115	
WARN	missing_definition	NCBITaxon:481	IAO:0000115	
WARN	missing_definition	NCBITaxon:482	IAO:0000115	
WARN	missing_definition	NCBITaxon:485	IAO:0000115	
WARN	missing_definition	NCBITaxon:51291	IAO:0000115	
WARN	missing_definition	NCBITaxon:543	IAO:0000115	
WARN	missing_definition	NCBITaxon:561	IAO:0000115	
WARN	missing_definition	NCBITaxon:562	IAO:0000115	
WARN	missing_definition	NCBITaxon:570	IAO:0000115	
WARN	missing_definition	NCBITaxon:573	IAO:0000115	
WARN	missing_definition	NCBITaxon:583	IAO:0000115	
WARN	missing_definition	NCBITaxon:590	IAO:0000115	
WARN	missing_definition	NCBITaxon:6072	IAO:0000115	
WARN	missing_definition	NCBITaxon:613	IAO:0000115	
WARN	missing_definition	NCBITaxon:620	IAO:0000115	
WARN	missing_definition	NCBITaxon:625	IAO:0000115	
WARN	missing_definition	NCBITaxon:68525	IAO:0000115	
WARN	missing_definition	NCBITaxon:712	IAO:0000115	
WARN	missing_definition	NCBITaxon:72274	IAO:0000115	
WARN	missing_definition	NCBITaxon:72293	IAO:0000115	
WARN	missing_definition	NCBITaxon:72294	IAO:0000115	
WARN	missing_definition	NCBITaxon:724	IAO:0000115	
WARN	missing_definition	NCBITaxon:727	IAO:0000115	
WARN	missing_definition	NCBITaxon:7711	IAO:0000115	
WARN	missing_definition	NCBITaxon:7742	IAO:0000115	
WARN	missing_definition	NCBITaxon:77643	IAO:0000115	
WARN	missing_definition	NCBITaxon:7776	IAO:0000115	
WARN	missing_definition	NCBITaxon:80840	IAO:0000115	
WARN	missing_definition	NCBITaxon:809	IAO:0000115	
WARN	missing_definition	NCBITaxon:810	IAO:0000115	
WARN	missing_definition	NCBITaxon:81852	IAO:0000115	
WARN	missing_definition	NCBITaxon:8287	IAO:0000115	
WARN	missing_definition	NCBITaxon:85007	IAO:0000115	
WARN	missing_definition	NCBITaxon:862507	IAO:0000115	
WARN	missing_definition	NCBITaxon:87882	IAO:0000115	
WARN	missing_definition	NCBITaxon:89593	IAO:0000115	
WARN	missing_definition	NCBITaxon:90964	IAO:0000115	
WARN	missing_definition	NCBITaxon:909768	IAO:0000115	
WARN	missing_definition	NCBITaxon:91061	IAO:0000115	
WARN	missing_definition	NCBITaxon:91347	IAO:0000115	
WARN	missing_definition	NCBITaxon:9347	IAO:0000115	
WARN	missing_definition	NCBITaxon:9989	IAO:0000115	
WARN	missing_definition	NCIT:C173514	IAO:0000115	
WARN	missing_definition	NCIT:C173515	IAO:0000115	
WARN	missing_definition	NCIT:C17375	IAO:0000115	
WARN	missing_definition	OBI:0000011	IAO:0000115	
WARN	missing_definition	OBI:0000094	IAO:0000115	
WARN	missing_definition	OBI:0100026	IAO:0000115	
WARN	missing_definition	OBI:0302887	IAO:0000115	
WARN	missing_definition	OMIT:0016996	IAO:0000115	
WARN	missing_definition	VO:0000574	IAO:0000115	
WARN	missing_definition	http://www.ebi.ac.uk/efo/EFO_0002547	IAO:0000115	
WARN	missing_definition	http://www.ebi.ac.uk/efo/EFO_0021426	IAO:0000115	
WARN	missing_definition	oboInOwl:hasAlternativeId	IAO:0000115	
WARN	missing_definition	oboInOwl:hasExactSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasNarrowSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasOBONamespace	IAO:0000115	
WARN	missing_definition	oboInOwl:inSubset	IAO:0000115	
WARN	missing_subset_declaration	NCIT:C116977	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C118169	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C148636	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C150107	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C157711	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C177537	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C186328	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C186341	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C54452	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C54455	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C61410	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C66729	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C66830	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C77526	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C77527	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C78420	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C78425	rdfs:subPropertyOf	
WARN	missing_subset_declaration	NCIT:C90259	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:pato#attribute_slim	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:pato#mpath_slim	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:pato#value_slim	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#acronym	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#blast_name	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#common_name	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#equivalent_name	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#genbank_common_name	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#in_part	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#misnomer	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#misspelling	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#scientific_name	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:ncbitaxon#synonym	rdfs:subPropertyOf	
